date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-02,sz.399997,8301.0880,8389.5750,8200.7240,8315.0160,8406.6230,186436427,26950355712.0000,3,1.152400,1,-1.089700,0
2020-01-03,sz.399997,8298.4330,8323.8260,8185.6940,8219.7300,8315.0160,144790804,21871442176.0000,3,0.894980,1,-1.145951,0
2020-01-06,sz.399997,8181.2270,8242.8550,8103.2620,8150.7970,8219.7300,137737277,15035809024.0000,3,0.891908,1,-0.838629,0
2020-01-07,sz.399997,8153.9880,8253.9260,8147.8590,8241.0400,8150.7970,137434283,12497966080.0000,3,0.000000,1,1.107168,0
2020-01-08,sz.399997,8214.3220,8293.7660,8194.4230,8254.5330,8241.0400,120905932,9445235968.0000,3,0.747343,1,0.163729,0
2020-01-09,sz.399997,8294.3960,8473.9110,8294.3960,8434.1270,8254.5330,165160637,13979953408.0000,3,1.020890,1,2.175702,0
2020-01-10,sz.399997,8441.0040,8675.8140,8441.0040,8643.0960,8434.1270,284121968,18529440000.0000,3,1.756213,1,2.477660,0
2020-01-13,sz.399997,8642.6670,8861.4430,8642.6670,8770.2470,8643.0960,272794464,20438170880.0000,3,1.767223,1,1.471128,0
2020-01-14,sz.399997,8766.1090,8767.5640,8615.2440,8636.4700,8770.2470,180023301,13107842304.0000,3,1.112759,1,-1.525350,0
2020-01-15,sz.399997,8635.1020,8791.1180,8634.9810,8679.5340,8636.4700,158820465,11444258304.0000,3,0.981700,1,0.498630,0
2020-01-16,sz.399997,8695.9270,8728.2870,8636.2620,8695.7910,8679.5340,116201327,8626878208.0000,3,0.718263,1,0.187303,0
2020-01-17,sz.399997,8744.5970,8797.3380,8677.1720,8696.5480,8695.7910,116676280,8892583680.0000,3,0.721199,1,0.008705,0
2020-01-20,sz.399997,8739.5400,8743.2180,8561.9950,8603.6680,8696.5480,137167922,11505809408.0000,3,0.888604,1,-1.068010,0
2020-01-21,sz.399997,8547.3350,8547.3350,8338.8740,8346.6800,8603.6680,162077888,13301915904.0000,3,1.001835,1,-2.986959,0
2020-01-22,sz.399997,8291.5500,8422.5650,8226.5460,8378.3720,8346.6800,127436688,11649456128.0000,3,0.787711,1,0.379696,0
2020-01-23,sz.399997,8369.1090,8370.1340,7979.4920,8052.7130,8378.3720,194002010,17321305600.0000,3,1.199164,1,-3.886901,0
2020-02-03,sz.399997,7286.5960,7336.2470,7282.6540,7307.1140,8052.7130,79375399,17102357760.0000,3,0.514211,1,-9.258979,0
2020-02-04,sz.399997,7049.4720,7385.2650,7049.4720,7270.8980,7307.1140,359053584,25879169792.0000,3,2.326029,1,-0.495627,0
2020-02-05,sz.399997,7293.8640,7418.9480,7202.2020,7372.3930,7270.8980,230490112,17710403328.0000,3,1.424704,1,1.395907,0
2020-02-06,sz.399997,7386.2680,7461.1840,7302.3390,7452.2480,7372.3930,193632055,14723348992.0000,3,1.196878,1,1.083163,0
2020-02-07,sz.399997,7429.0500,7526.9910,7377.7810,7521.0600,7452.2480,164885940,12114395648.0000,3,1.019192,1,0.923372,0
2020-02-10,sz.399997,7461.7750,7591.6830,7385.2410,7542.0570,7521.0600,167883457,11627213312.0000,3,1.087586,1,0.279176,0
2020-02-11,sz.399997,7537.4750,7789.7140,7537.4750,7737.2280,7542.0570,202150336,14691712768.0000,3,1.249531,1,2.587769,0
2020-02-12,sz.399997,7718.6470,7775.2760,7662.9350,7759.8090,7737.2280,134848339,9797773568.0000,3,0.833524,1,0.291849,0
2020-02-13,sz.399997,7753.6420,7866.0800,7667.1670,7696.2090,7759.8090,126922840,9819932928.0000,3,0.784535,1,-0.819608,0
2020-02-14,sz.399997,7689.0630,7727.1430,7627.7780,7674.7360,7696.2090,101270253,7629286144.0000,3,0.624756,1,-0.279007,0
2020-02-17,sz.399997,7654.3850,7742.1270,7646.9080,7742.1270,7674.7360,145553493,10155471104.0000,3,0.941009,1,0.878089,0
2020-02-18,sz.399997,7737.6100,7737.6100,7649.8300,7698.4000,7742.1270,127183932,8465239808.0000,3,0.784622,1,-0.564793,0
2020-02-19,sz.399997,7690.1660,7849.5290,7653.1780,7799.5680,7698.4000,172499033,13615716096.0000,3,1.064180,1,1.314143,0
2020-02-20,sz.399997,7812.3400,8093.4390,7812.3400,8093.4320,7799.5680,226576933,17215173632.0000,3,1.397797,1,3.767696,0
2020-02-21,sz.399997,8037.5590,8096.2760,8022.6030,8069.4520,8093.4320,153765379,10820346368.0000,3,0.948608,1,-0.296290,0
2020-02-24,sz.399997,8015.8590,8015.8590,7859.6640,7910.1190,8069.4520,167881154,12720225280.0000,3,1.085359,1,-1.974521,0
2020-02-25,sz.399997,7769.5980,7883.9890,7700.2070,7837.6280,7910.1190,165354935,12464849152.0000,3,1.020107,1,-0.916434,0
2020-02-26,sz.399997,7742.6350,7909.6720,7704.7580,7766.4980,7837.6280,142989713,11765440000.0000,3,0.882131,1,-0.907545,0
2020-02-27,sz.399997,7776.1130,7919.0570,7776.1130,7860.3370,7766.4980,134997313,11109957888.0000,3,0.832825,1,1.208254,0
2020-02-28,sz.399997,7678.5360,7727.7970,7484.6690,7519.3650,7860.3370,197496789,15848730368.0000,3,1.218396,1,-4.337880,0
2020-03-02,sz.399997,7483.0040,7751.2450,7483.0040,7720.3570,7519.3650,157629498,13692459776.0000,3,0.972447,1,2.672992,0
2020-03-03,sz.399997,7783.3590,7852.7390,7756.3120,7778.0350,7720.3570,149553042,13679433728.0000,3,0.922622,1,0.747090,0
2020-03-04,sz.399997,7756.1270,7846.5450,7724.6510,7843.4420,7778.0350,127686826,12791281408.0000,3,0.787725,1,0.840919,0
2020-03-05,sz.399997,7885.0210,8327.5860,7866.3710,8257.6680,7843.4420,309995824,25023861248.0000,3,1.912424,1,5.281176,0
2020-03-06,sz.399997,8163.5540,8333.7460,8059.1150,8067.1710,8257.6680,198004412,14600977408.0000,3,1.221528,1,-2.306910,0
2020-03-09,sz.399997,7933.0603,7933.0603,7722.3062,7748.1841,8067.1719,173225303,14109145698.3400,3,1.068661,1,-3.954147,0
2020-03-10,sz.399997,7693.9489,8024.2119,7693.9489,7986.8476,7748.1841,167981343,16582900986.6000,3,1.036310,1,3.080251,0
2020-03-11,sz.399997,8015.4673,8109.4134,7946.0833,7965.4623,7986.8476,141508310,11962720154.7700,3,0.872992,1,-0.267756,0
2020-03-12,sz.399997,7854.0008,7854.0008,7719.0139,7766.9051,7965.4623,126349759,11431504262.4400,3,0.779476,1,-2.492727,0
2020-03-13,sz.399997,7407.7169,7714.4712,7345.9669,7611.5055,7766.9051,160887407,17474879126.3000,3,0.992546,1,-2.000792,0
2020-03-16,sz.399997,7588.9596,7588.9596,7262.5865,7284.1984,7611.5055,156126549,14875530202.9800,3,0.963175,1,-4.300162,0
2020-03-17,sz.399997,7241.2403,7392.4031,6915.8149,7116.4597,7284.1984,167662361,17433391829.2700,3,1.034342,1,-2.302775,0
2020-03-18,sz.399997,7155.9512,7284.0308,6912.2527,6914.5965,7116.4597,148803629,16225114703.0200,3,0.917999,1,-2.836568,0
2020-03-19,sz.399997,6853.0136,6894.3052,6479.6100,6663.1634,6914.5965,224481386,22221473822.1800,3,1.384869,1,-3.636266,0
2020-03-20,sz.399997,6764.6772,6950.9098,6737.9107,6897.3797,6663.1634,167269503,15098817347.2500,3,1.031918,1,3.515092,0
2020-03-23,sz.399997,6682.8223,6766.5794,6624.3418,6677.6299,6897.3797,130688749,11791832764.6600,3,0.806244,1,-3.185990,0
2020-03-24,sz.399997,6820.4675,6970.1816,6770.3449,6949.9897,6677.6299,152909592,13059550791.3300,3,0.943329,1,4.078690,0
2020-03-25,sz.399997,7182.0684,7198.4863,7090.4996,7163.6279,6949.9897,158326499,12188992090.3000,3,0.976747,1,3.073935,0
2020-03-26,sz.399997,7113.9312,7300.7489,7080.9426,7156.0173,7163.6279,133787514,10155144764.1400,3,0.825361,1,-0.106239,0
2020-03-27,sz.399997,7258.2883,7420.7187,7258.0674,7331.8557,7156.0173,158276366,12124236782.3800,3,0.976438,1,2.457210,0
2020-03-30,sz.399997,7205.1011,7263.3859,7143.7060,7185.7625,7331.8557,118257703,9522459055.7200,3,0.729555,1,-1.992581,0
2020-03-31,sz.399997,7276.1124,7379.8202,7236.2953,7329.8569,7185.7625,110455525,10873614363.2000,3,0.681422,1,2.005276,0
2020-04-01,sz.399997,7347.6427,7405.2968,7244.1807,7276.9040,7329.8569,104227428,8915316504.7200,3,0.642999,1,-0.722427,0
2020-04-02,sz.399997,7238.6391,7377.5074,7233.8992,7377.5074,7276.9040,98711449,10180510194.0000,3,0.608970,1,1.382503,0
2020-04-03,sz.399997,7369.6544,7457.4762,7320.4944,7359.1431,7377.5074,90303094,7927136310.8700,3,0.557097,1,-0.248923,0
