date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-02,sh.600307,2.0700,2.0900,2.0600,2.0800,2.0600,26073770,54118421.0000,3,0.416300,1,0.970900,0
2020-01-03,sh.600307,2.0800,2.0800,2.0500,2.0700,2.0800,23894300,49312974.0000,3,0.381500,1,-0.480800,0
2020-01-06,sh.600307,2.0600,2.0800,2.0500,2.0700,2.0700,26561128,54949991.0000,3,0.424100,1,0.000000,0
2020-01-07,sh.600307,2.0700,2.1100,2.0600,2.1000,2.0700,50071193,104761861.0000,3,0.799400,1,1.449300,0
2020-01-08,sh.600307,2.0900,2.1000,2.0300,2.0300,2.1000,32970269,67934780.0000,3,0.526400,1,-3.333300,0
2020-01-09,sh.600307,2.0500,2.0700,2.0400,2.0700,2.0300,31151410,64143679.0000,3,0.497400,1,1.970400,0
2020-01-10,sh.600307,2.0700,2.0800,2.0300,2.0400,2.0700,28816301,59008299.0000,3,0.460100,1,-1.449300,0
2020-01-13,sh.600307,2.0400,2.0400,2.0000,2.0400,2.0400,32698440,66045356.0000,3,0.522100,1,0.000000,0
2020-01-14,sh.600307,2.0400,2.0600,2.0300,2.0400,2.0400,25711350,52615214.0000,3,0.410500,1,0.000000,0
2020-01-15,sh.600307,2.0400,2.0500,2.0100,2.0100,2.0400,24368967,49202903.0000,3,0.389100,1,-1.470600,0
2020-01-16,sh.600307,2.0200,2.0300,2.0000,2.0000,2.0100,20162384,40444931.0000,3,0.321900,1,-0.497500,0
2020-01-17,sh.600307,2.0000,2.0100,1.9900,2.0000,2.0000,24395614,48779452.0000,3,0.389500,1,0.000000,0
2020-01-20,sh.600307,2.0000,2.0000,1.9800,2.0000,2.0000,23943342,47680542.0000,3,0.382300,1,0.000000,0
2020-01-21,sh.600307,1.9900,2.0000,1.9500,1.9700,2.0000,29185963,57424975.0000,3,0.466000,1,-1.500000,0
2020-01-22,sh.600307,1.9600,1.9700,1.9300,1.9700,1.9700,22304251,43491361.0000,3,0.356100,1,0.000000,0
2020-01-23,sh.600307,1.9600,1.9600,1.8900,1.9000,1.9700,34426900,66058182.0000,3,0.549700,1,-3.553300,0
2020-02-03,sh.600307,1.7100,1.7300,1.7100,1.7100,1.9000,43108311,73883419.0000,3,0.688300,1,-10.000000,0
2020-02-04,sh.600307,1.6000,1.7400,1.6000,1.7200,1.7100,52881356,89804186.0000,3,0.844300,1,0.584800,0
2020-02-05,sh.600307,1.7200,1.7700,1.7100,1.7400,1.7200,43369500,75645658.0000,3,0.692400,1,1.162800,0
2020-02-06,sh.600307,1.7400,1.7600,1.7200,1.7600,1.7400,41737242,72636321.0000,3,0.666400,1,1.149400,0
2020-02-07,sh.600307,1.7500,1.7600,1.7300,1.7500,1.7600,38407857,67005657.0000,3,0.613200,1,-0.568200,0
2020-02-10,sh.600307,1.7500,1.7700,1.7300,1.7700,1.7500,48246858,84570482.0000,3,0.770300,1,1.142900,0
2020-02-11,sh.600307,1.7700,1.8900,1.7600,1.8000,1.7700,76717968,139548515.0000,3,1.224900,1,1.694900,0
2020-02-12,sh.600307,1.7900,1.8100,1.7700,1.8100,1.8000,34384050,61536372.0000,3,0.549000,1,0.555600,0
2020-02-13,sh.600307,1.8000,1.8000,1.7700,1.7800,1.8100,30663649,54708263.0000,3,0.489600,1,-1.657500,0
2020-02-14,sh.600307,1.7700,1.7900,1.7700,1.7900,1.7800,22316153,39757945.0000,3,0.356300,1,0.561800,0
2020-02-17,sh.600307,1.7900,1.8400,1.7800,1.8300,1.7900,39705665,72003532.0000,3,0.633900,1,2.234600,0
2020-02-18,sh.600307,1.8300,1.8400,1.8000,1.8200,1.8300,37952732,68996904.0000,3,0.605900,1,-0.546400,0
2020-02-19,sh.600307,1.8100,1.8300,1.8000,1.8100,1.8200,40023168,72425492.0000,3,0.639000,1,-0.549500,0
2020-02-20,sh.600307,1.8100,1.8400,1.7900,1.8400,1.8100,53666438,97562032.0000,3,0.856800,1,1.657500,0
2020-02-21,sh.600307,1.8300,1.8600,1.8200,1.8600,1.8400,54990235,101391112.0000,3,0.878000,1,1.087000,0
2020-02-24,sh.600307,1.8500,1.8500,1.8200,1.8300,1.8600,48323738,88568986.0000,3,0.771500,1,-1.612900,0
2020-02-25,sh.600307,1.8000,1.8200,1.7700,1.8100,1.8300,62459235,111934759.0000,3,0.997200,1,-1.092900,0
2020-02-26,sh.600307,1.8000,1.8900,1.7800,1.8600,1.8100,95850287,176805910.0000,3,1.530300,1,2.762400,0
2020-02-27,sh.600307,1.8500,1.8800,1.8300,1.8400,1.8600,53655480,99474431.0000,3,0.856700,1,-1.075300,0
2020-02-28,sh.600307,1.8000,1.8200,1.7700,1.7800,1.8400,59228641,106282688.0000,3,0.945600,1,-3.260900,0
2020-03-02,sh.600307,1.7800,1.8700,1.7800,1.8600,1.7800,75905800,139513282.0000,3,1.211900,1,4.494400,0
2020-03-03,sh.600307,1.8800,1.8900,1.8300,1.8500,1.8600,74405499,138300824.0000,3,1.187900,1,-0.537600,0
2020-03-04,sh.600307,1.8400,1.8800,1.8300,1.8700,1.8500,61120381,113387026.0000,3,0.975800,1,1.081100,0
2020-03-05,sh.600307,1.8900,1.9200,1.8700,1.9100,1.8700,76881258,145826531.0000,3,1.227500,1,2.139000,0
2020-03-06,sh.600307,1.8800,1.8900,1.8700,1.8900,1.9100,48446587,91062404.0000,3,0.773500,1,-1.047100,0
2020-03-09,sh.600307,1.8600,1.8600,1.8200,1.8200,1.8900,48154900,88487698.0000,3,0.768800,1,-3.703700,0
2020-03-10,sh.600307,1.8000,1.8500,1.7900,1.8500,1.8200,49023833,89468339.0000,3,0.782700,1,1.648400,0
2020-03-11,sh.600307,1.8500,1.8500,1.8200,1.8300,1.8500,43765435,80361853.0000,3,0.698800,1,-1.081100,0
2020-03-12,sh.600307,1.8100,1.8200,1.8000,1.8100,1.8300,39813194,71917247.0000,3,0.635700,1,-1.092900,0
2020-03-13,sh.600307,1.7500,1.8100,1.7300,1.7900,1.8100,50725115,89420074.0000,3,0.809900,1,-1.105000,0
2020-03-16,sh.600307,1.8100,1.8100,1.7500,1.7500,1.7900,42916500,76503670.0000,3,0.685200,1,-2.234600,0
2020-03-17,sh.600307,1.7500,1.7800,1.7400,1.7500,1.7500,50319615,88428009.0000,3,0.803400,1,0.000000,0
2020-03-18,sh.600307,1.7600,1.7700,1.7200,1.7300,1.7500,44297081,77622236.0000,3,0.707200,1,-1.142900,0
2020-03-19,sh.600307,1.7200,1.7400,1.6900,1.7300,1.7300,37897458,65080507.0000,3,0.605100,1,0.000000,0
2020-03-20,sh.600307,1.7400,1.7400,1.7200,1.7400,1.7300,25555913,44235888.0000,3,0.408000,1,0.578000,0
2020-03-23,sh.600307,1.7200,1.7300,1.7000,1.7200,1.7400,37384200,63863636.0000,3,0.596900,1,-1.149400,0
2020-03-24,sh.600307,1.7200,1.7400,1.7200,1.7300,1.7200,33498002,58069592.0000,3,0.534800,1,0.581400,0
2020-03-25,sh.600307,1.7600,1.7600,1.7400,1.7400,1.7300,28161489,49167083.0000,3,0.449600,1,0.578000,0
2020-03-26,sh.600307,1.7400,1.7400,1.7200,1.7200,1.7400,22404492,38675204.0000,3,0.357700,1,-1.149400,0
2020-03-27,sh.600307,1.7400,1.7600,1.7200,1.7400,1.7200,29732537,51782382.0000,3,0.474700,1,1.162800,0
2020-03-30,sh.600307,1.7200,1.7400,1.7000,1.7300,1.7400,34346978,59040904.0000,3,0.548400,1,-0.574700,0
2020-03-31,sh.600307,1.7300,1.7400,1.7200,1.7200,1.7300,22046810,38102860.0000,3,0.352000,1,-0.578000,0
2020-04-01,sh.600307,1.7100,1.7300,1.7000,1.7100,1.7200,23654900,40593864.0000,3,0.377700,1,-0.581400,0
2020-04-02,sh.600307,1.7000,1.7300,1.7000,1.7300,1.7100,29412320,50560398.0000,3,0.469600,1,1.169600,0
2020-04-03,sh.600307,1.7400,1.7400,1.7000,1.7200,1.7300,21793002,37384698.0000,3,0.347900,1,-0.578000,0
2020-04-07,sh.600307,1.7300,1.7400,1.7300,1.7300,1.7200,21400810,37119583.0000,3,0.341700,1,0.581400,0
2020-04-08,sh.600307,1.7300,1.7400,1.7200,1.7300,1.7300,24223472,41905266.0000,3,0.386700,1,0.000000,0
2020-04-09,sh.600307,1.7400,1.7600,1.7300,1.7500,1.7300,32341875,56493810.0000,3,0.516400,1,1.156100,0
2020-04-10,sh.600307,1.7500,1.7500,1.7200,1.7200,1.7500,29739600,51531036.0000,3,0.474800,1,-1.714300,0
2020-04-13,sh.600307,1.7200,1.7300,1.7100,1.7100,1.7200,17120560,29399166.0000,3,0.273300,1,-0.581400,0
2020-04-14,sh.600307,1.7100,1.7300,1.7100,1.7200,1.7100,16131751,27749731.0000,3,0.257600,1,0.584800,0
2020-04-15,sh.600307,1.7200,1.7300,1.7100,1.7200,1.7200,18206477,31315879.0000,3,0.290700,1,0.000000,0
2020-04-16,sh.600307,1.7100,1.7200,1.7000,1.7200,1.7200,21030000,35949620.0000,3,0.335800,1,0.000000,0
2020-04-17,sh.600307,1.7200,1.7300,1.7100,1.7200,1.7200,17289185,29735416.0000,3,0.276000,1,0.000000,0
2020-04-20,sh.600307,1.7200,1.7300,1.7100,1.7200,1.7200,22814000,39260398.0000,3,0.364200,1,0.000000,0
2020-04-21,sh.600307,1.7200,1.7200,1.7000,1.7100,1.7200,26610617,45485013.0000,3,0.424900,1,-0.581400,0
2020-04-22,sh.600307,1.7100,1.7200,1.7000,1.7200,1.7100,23870196,40856111.0000,3,0.381100,1,0.584800,0
2020-04-23,sh.600307,1.7200,1.7200,1.7000,1.7100,1.7200,16088200,27547277.0000,3,0.256900,1,-0.581400,0
2020-04-24,sh.600307,1.7100,1.7200,1.7000,1.7100,1.7100,18258079,31211449.0000,3,0.291500,1,0.000000,0
2020-04-27,sh.600307,1.7100,1.7200,1.7000,1.7100,1.7100,21865200,37266338.0000,3,0.349100,1,0.000000,0
2020-04-28,sh.600307,1.7100,1.7100,1.6500,1.6800,1.7100,35430180,59632485.0000,3,0.565700,1,-1.754400,0
2020-04-29,sh.600307,1.6800,1.7000,1.6700,1.7000,1.6800,22518700,38021147.0000,3,0.359500,1,1.190500,0
2020-04-30,sh.600307,1.6800,1.7000,1.6700,1.6900,1.7000,43652291,73293977.0000,3,0.696900,1,-0.588200,0
2020-05-06,sh.600307,1.6700,1.6800,1.6500,1.6700,1.6900,46189355,76694975.0000,3,0.737500,1,-1.183400,0
2020-05-07,sh.600307,1.6600,1.6700,1.6200,1.6300,1.6700,56130736,92024726.0000,3,0.896200,1,-2.395200,0
2020-05-08,sh.600307,1.6300,1.6400,1.6200,1.6400,1.6300,30259973,49420462.0000,3,0.483100,1,0.613500,0
2020-05-11,sh.600307,1.6300,1.6500,1.6300,1.6400,1.6400,23708020,38788940.0000,3,0.378500,1,0.000000,0
2020-05-12,sh.600307,1.6300,1.6400,1.6000,1.6100,1.6400,34447741,55641973.0000,3,0.550000,1,-1.829300,0
2020-05-13,sh.600307,1.6100,1.6100,1.5900,1.5900,1.6100,28499221,45391401.0000,3,0.455000,1,-1.242200,0
2020-05-14,sh.600307,1.5800,1.5900,1.5600,1.5700,1.5900,37517060,58877437.0000,3,0.599000,1,-1.257900,0
2020-05-15,sh.600307,1.5700,1.5800,1.5600,1.5700,1.5700,18490400,29027120.0000,3,0.295200,1,0.000000,0
2020-05-18,sh.600307,1.5800,1.6100,1.5700,1.5900,1.5700,31192066,49888639.0000,3,0.498000,1,1.273900,0
2020-05-19,sh.600307,1.6000,1.6100,1.5800,1.5900,1.5900,19666900,31375147.0000,3,0.314000,1,0.000000,0
2020-05-20,sh.600307,1.5900,1.5900,1.5700,1.5800,1.5900,21738503,34307222.0000,3,0.347100,1,-0.628900,0
2020-05-21,sh.600307,1.5800,1.5900,1.5600,1.5800,1.5800,23454620,36885880.0000,3,0.374500,1,0.000000,0
2020-05-22,sh.600307,1.5700,1.5800,1.5300,1.5400,1.5800,39236700,60595900.0000,3,0.626400,1,-2.531700,0
2020-05-25,sh.600307,1.5400,1.5500,1.4900,1.5100,1.5400,35834900,54147366.0000,3,0.572100,1,-1.948100,0
2020-05-26,sh.600307,1.5000,1.5100,1.4900,1.5100,1.5100,29156400,43755046.0000,3,0.465500,1,0.000000,0
2020-05-27,sh.600307,1.5000,1.5300,1.4900,1.5200,1.5100,36932289,55959823.0000,3,0.589700,1,0.662300,0
2020-05-28,sh.600307,1.5100,1.5200,1.4900,1.5100,1.5200,25654591,38532002.0000,3,0.409600,1,-0.657900,0
2020-05-29,sh.600307,1.5000,1.5100,1.4800,1.5000,1.5100,20926059,31280014.0000,3,0.334100,1,-0.662300,0
2020-06-01,sh.600307,1.5000,1.5300,1.4900,1.5200,1.5000,32737987,49586502.0000,3,0.522700,1,1.333300,0
2020-06-02,sh.600307,1.5200,1.5500,1.5100,1.5400,1.5200,44307224,67772495.0000,3,0.707400,1,1.315800,0
2020-06-03,sh.600307,1.5400,1.5500,1.5200,1.5300,1.5400,24352293,37308148.0000,3,0.388800,1,-0.649400,0
2020-06-04,sh.600307,1.5300,1.5300,1.5000,1.5100,1.5300,23104902,34981583.0000,3,0.368900,1,-1.307200,0
2020-06-05,sh.600307,1.5100,1.5200,1.5000,1.5100,1.5100,15290581,23091942.0000,3,0.244100,1,0.000000,0
2020-06-08,sh.600307,1.5200,1.5400,1.5200,1.5300,1.5100,25813602,39394459.0000,3,0.412100,1,1.324500,0
2020-06-09,sh.600307,1.5300,1.5400,1.5200,1.5300,1.5300,17295500,26433512.0000,3,0.276100,1,0.000000,0
2020-06-10,sh.600307,1.5300,1.5400,1.5200,1.5300,1.5300,20413231,31171715.0000,3,0.325900,1,0.000000,0
2020-06-11,sh.600307,1.5300,1.5300,1.5100,1.5200,1.5300,22005600,33450646.0000,3,0.351300,1,-0.653600,0
2020-06-12,sh.600307,1.5000,1.5300,1.4900,1.5200,1.5200,28281811,42699834.0000,3,0.451500,1,0.000000,0
2020-06-15,sh.600307,1.5200,1.5200,1.5000,1.5100,1.5200,20775427,31379903.0000,3,0.331700,1,-0.657900,0
2020-06-16,sh.600307,1.5100,1.5800,1.5100,1.5400,1.5100,50444027,77810133.0000,3,0.805400,1,1.986800,0
2020-06-17,sh.600307,1.5400,1.6100,1.5300,1.6000,1.5400,71895628,113557004.0000,3,1.147900,1,3.896100,0
2020-06-18,sh.600307,1.6000,1.7100,1.5800,1.6200,1.6000,94377658,155254204.0000,3,1.506800,1,1.250000,0
2020-06-19,sh.600307,1.6000,1.6200,1.5700,1.5900,1.6200,50159260,79531536.0000,3,0.800800,1,-1.851800,0
2020-06-22,sh.600307,1.5800,1.5800,1.5600,1.5700,1.5900,25079303,39409012.0000,3,0.400400,1,-1.257900,0
2020-06-23,sh.600307,1.5700,1.5700,1.5400,1.5500,1.5700,22091741,34321901.0000,3,0.352700,1,-1.273900,0
2020-06-24,sh.600307,1.5500,1.5600,1.5400,1.5600,1.5500,16508498,25576491.0000,3,0.263600,1,0.645200,0
2020-06-29,sh.600307,1.5500,1.5500,1.5200,1.5300,1.5600,19038534,29194760.0000,3,0.304000,1,-1.923100,0
2020-06-30,sh.600307,1.5300,1.5500,1.5200,1.5400,1.5300,18728490,28772531.0000,3,0.299000,1,0.653600,0
2020-07-01,sh.600307,1.5400,1.5500,1.5300,1.5500,1.5400,18561714,28572215.0000,3,0.296400,1,0.649400,0
2020-07-02,sh.600307,1.5500,1.6000,1.5400,1.5900,1.5500,37224390,58496109.0000,3,0.594300,1,2.580700,0
2020-07-03,sh.600307,1.5900,1.6300,1.5800,1.6100,1.5900,44815495,72170356.0000,3,0.715500,1,1.257900,0
2020-07-06,sh.600307,1.6200,1.7100,1.6200,1.7000,1.6100,91711727,153960748.0000,3,1.464300,1,5.590100,0
2020-07-07,sh.600307,1.7200,1.7500,1.6700,1.6700,1.7000,79593554,135928299.0000,3,1.270800,1,-1.764700,0
2020-07-08,sh.600307,1.6700,1.7400,1.6700,1.7300,1.6700,75322672,128559815.0000,3,1.202600,1,3.592800,0
2020-07-09,sh.600307,1.7300,1.7900,1.7100,1.7600,1.7300,93779522,163040175.0000,3,1.497300,1,1.734100,0
2020-07-10,sh.600307,1.7500,1.7500,1.6900,1.7000,1.7600,63262865,108939645.0000,3,1.010000,1,-3.409100,0
2020-07-13,sh.600307,1.7000,1.7600,1.6900,1.7500,1.7000,63405382,109658362.0000,3,1.012300,1,2.941200,0
2020-07-14,sh.600307,1.7700,1.7800,1.7000,1.7300,1.7500,71586745,124478876.0000,3,1.142900,1,-1.142900,0
2020-07-15,sh.600307,1.7300,1.7400,1.6700,1.6900,1.7300,63904059,109225642.0000,3,1.020300,1,-2.312100,0
2020-07-16,sh.600307,1.6900,1.7100,1.6400,1.6500,1.6900,41741617,69995764.0000,3,0.666400,1,-2.366900,0
2020-07-17,sh.600307,1.6400,1.6600,1.6400,1.6500,1.6500,39041440,64354322.0000,3,0.623300,1,0.000000,0
2020-07-20,sh.600307,1.6500,1.7200,1.6500,1.7100,1.6500,62235440,104759234.0000,3,0.993600,1,3.636400,0
2020-07-21,sh.600307,1.7100,1.7200,1.6800,1.6900,1.7100,37166779,62941657.7200,3,0.593400,1,-1.169600,0
2020-07-22,sh.600307,1.6900,1.7200,1.6800,1.6900,1.6900,36326862,61745081.8000,3,0.580000,1,0.000000,0
2020-07-23,sh.600307,1.6800,1.6900,1.6400,1.6700,1.6900,39562530,65875160.8600,3,0.631700,1,-1.183400,0
2020-07-24,sh.600307,1.6600,1.6700,1.6100,1.6200,1.6700,41846502,68578543.8000,3,0.668100,1,-2.994000,0
2020-07-27,sh.600307,1.6200,1.6300,1.6100,1.6200,1.6200,19838735,32156033.6900,3,0.316700,1,0.000000,0
2020-07-28,sh.600307,1.6300,1.6500,1.6200,1.6400,1.6200,19049900,31190905.0000,3,0.304100,1,1.234600,0
2020-07-29,sh.600307,1.6300,1.6600,1.6200,1.6600,1.6400,26544376,43588171.4000,3,0.423800,1,1.219500,0
2020-07-30,sh.600307,1.6600,1.6600,1.6300,1.6400,1.6600,27273278,44875844.9300,3,0.435400,1,-1.204800,0
