date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-02,sz.000959,3.5500,3.5800,3.5400,3.5500,3.5300,12500926,44472458.2500,3,0.247200,1,0.566600,0
2020-01-03,sz.000959,3.5600,3.5700,3.5300,3.5400,3.5500,6779589,24038159.5900,3,0.134100,1,-0.281700,0
2020-01-06,sz.000959,3.5200,3.5500,3.5000,3.5200,3.5400,10444931,36825220.7400,3,0.206500,1,-0.565000,0
2020-01-07,sz.000959,3.5200,3.5700,3.5100,3.5700,3.5200,14659163,52109265.0300,3,0.289900,1,1.420500,0
2020-01-08,sz.000959,3.5700,3.5700,3.4900,3.5100,3.5700,11753467,41404955.0800,3,0.232400,1,-1.680700,0
2020-01-09,sz.000959,3.5300,3.5400,3.5100,3.5200,3.5100,7451477,26258005.9000,3,0.147300,1,0.284900,0
2020-01-10,sz.000959,3.5100,3.5300,3.4800,3.4900,3.5200,6429051,22493936.4800,3,0.127100,1,-0.852300,0
2020-01-13,sz.000959,3.4900,3.5100,3.4600,3.5100,3.4900,7220140,25157575.8000,3,0.142800,1,0.573100,0
2020-01-14,sz.000959,3.5100,3.5300,3.5000,3.5200,3.5100,6554470,23066524.7100,3,0.129600,1,0.284900,0
2020-01-15,sz.000959,3.5200,3.5200,3.4700,3.4700,3.5200,6549883,22805623.5300,3,0.129500,1,-1.420500,0
2020-01-16,sz.000959,3.4800,3.4800,3.4500,3.4500,3.4700,4811108,16656682.6400,3,0.095100,1,-0.576400,0
2020-01-17,sz.000959,3.4500,3.4700,3.4400,3.4400,3.4500,4332785,14952468.8800,3,0.085700,1,-0.289900,0
2020-01-20,sz.000959,3.4400,3.4600,3.4100,3.4600,3.4400,5104744,17532293.6200,3,0.100900,1,0.581400,0
2020-01-21,sz.000959,3.4500,3.4600,3.4100,3.4100,3.4600,6697248,22883938.6800,3,0.132400,1,-1.445100,0
2020-01-22,sz.000959,3.4000,3.4300,3.3600,3.4200,3.4100,6798840,23047830.3400,3,0.134400,1,0.293300,0
2020-01-23,sz.000959,3.4000,3.4100,3.3300,3.3500,3.4200,8136670,27387748.8000,3,0.160900,1,-2.046800,0
2020-02-03,sz.000959,3.0200,3.0800,3.0200,3.0200,3.3500,10333597,31269161.3200,3,0.204300,1,-9.850700,0
2020-02-04,sz.000959,2.8700,3.0500,2.8700,3.0000,3.0200,12714109,38110718.1800,3,0.251400,1,-0.662300,0
2020-02-05,sz.000959,3.0000,3.0800,3.0000,3.0400,3.0000,10350573,31465367.9500,3,0.204700,1,1.333300,0
2020-02-06,sz.000959,3.0500,3.0600,3.0200,3.0400,3.0400,9026213,27396245.4000,3,0.178500,1,0.000000,0
2020-02-07,sz.000959,3.0500,3.1600,3.0200,3.1600,3.0400,12128451,37140761.6800,3,0.239800,1,3.947400,0
2020-02-10,sz.000959,3.1000,3.2400,3.0900,3.2300,3.1600,11317698,35903238.0600,3,0.223800,1,2.215200,0
2020-02-11,sz.000959,3.2300,3.3500,3.2000,3.3300,3.2300,15290992,50365808.7700,3,0.302400,1,3.096000,0
2020-02-12,sz.000959,3.2800,3.2900,3.2100,3.2600,3.3300,11205219,36440075.1000,3,0.221600,1,-2.102100,0
2020-02-13,sz.000959,3.2600,3.2800,3.2200,3.2400,3.2600,5980630,19429443.8900,3,0.118300,1,-0.613500,0
2020-02-14,sz.000959,3.2400,3.2600,3.2100,3.2300,3.2400,6007436,19435238.5200,3,0.118800,1,-0.308600,0
2020-02-17,sz.000959,3.2200,3.2700,3.2200,3.2600,3.2300,6901759,22478335.1400,3,0.136500,1,0.928800,0
2020-02-18,sz.000959,3.2600,3.2700,3.2300,3.2500,3.2600,7306197,23701816.0700,3,0.144500,1,-0.306700,0
2020-02-19,sz.000959,3.2400,3.2500,3.1500,3.1600,3.2500,24890394,79164003.2200,3,0.492200,1,-2.769200,0
2020-02-20,sz.000959,3.1700,3.2000,3.1300,3.1900,3.1600,20439205,64519651.2600,3,0.404200,1,0.949400,0
2020-02-21,sz.000959,3.1800,3.1800,3.1400,3.1700,3.1900,26532489,83769869.8000,3,0.524700,1,-0.627000,0
2020-02-24,sz.000959,3.1800,3.1800,3.1000,3.1100,3.1700,22738135,71057362.2500,3,0.449600,1,-1.892800,0
2020-02-25,sz.000959,3.0700,3.0700,3.0100,3.0400,3.1100,24489101,74532860.0800,3,0.484300,1,-2.250800,0
2020-02-26,sz.000959,3.0200,3.1200,3.0000,3.0900,3.0400,33888327,103939939.8600,3,0.670100,1,1.644700,0
2020-02-27,sz.000959,3.0900,3.1100,3.0700,3.0800,3.0900,16789121,51831846.1700,3,0.332000,1,-0.323600,0
2020-02-28,sz.000959,3.0400,3.0600,3.0000,3.0000,3.0800,18463090,55832343.6300,3,0.365100,1,-2.597400,0
2020-03-02,sz.000959,3.0100,3.1200,3.0100,3.1100,3.0000,20053544,61854349.1600,3,0.396500,1,3.666700,0
2020-03-03,sz.000959,3.1400,3.1700,3.1000,3.1100,3.1100,20112157,62745684.9900,3,0.397700,1,0.000000,0
2020-03-04,sz.000959,3.0900,3.1400,3.0800,3.1400,3.1100,15817351,49261122.0800,3,0.312800,1,0.964600,0
2020-03-05,sz.000959,3.1500,3.2100,3.1400,3.1900,3.1400,27359676,87094911.6400,3,0.541000,1,1.592400,0
2020-03-06,sz.000959,3.1600,3.1600,3.1200,3.1300,3.1900,16335845,51271445.2300,3,0.323000,1,-1.880900,0
2020-03-09,sz.000959,3.1000,3.1100,3.0300,3.0500,3.1300,16566340,50732118.6000,3,0.327600,1,-2.555900,0
2020-03-10,sz.000959,3.0100,3.1100,3.0000,3.0900,3.0500,14820924,45377549.7500,3,0.293100,1,1.311500,0
2020-03-11,sz.000959,3.0900,3.1100,3.0600,3.0600,3.0900,11920981,36754992.2900,3,0.235700,1,-0.970900,0
2020-03-12,sz.000959,3.0500,3.0700,3.0200,3.0500,3.0600,9500559,28896116.2200,3,0.187900,1,-0.326800,0
